Name	Set	ImageFile	CardType	CorpsSymbol	Price	ClashPoints	MSType	Dock Pilot	Limited	Unique	Preemptive Strike
Liberation Army Village	set1	BF_001_liberation_army_village	Battlefield	WG	2						
Singapore Space Base	set1	BF_002_Singapore_space_base	Battlefield	WG	2						
Sanc Kingdom	set1	BF_003_Sanc_Kingdom	Battlefield	WG	2						
L2 Colony	set1	BF_004_L2_Colony	Battlefield	WG	2				Y		
New Edwards Base	set1	BF_005_New_Edwards_Base	Battlefield	WG	2						
Lake Victoria Base	set1	BF_006_Lake_Victoria_Base	Battlefield	Oz	2						
Luxembourg Base	set1	BF_007_luxembourg_base	Battlefield	Oz	2						
Space Fortress Libra	set1	BF_008_Space_Fortress_Libra	Battlefield	Oz	4				Y		
Corsica Base	set1	BF_009_Corsica_base	Battlefield	WG	2						
St. Gabriela School	set1	BF_010_ST.Gabriela_school	Battlefield	WG	1						
Disputed Area	set1	BF_011_disputed_area	Battlefield	WG	0						
L5 Colony	set1	BF_012_L5_colony	Battlefield	WG	2						
Howard's Repair Shop	set1	BF_013_Howard's_repair_shop	Battlefield	WG	1						
The Winners' Villa Basement	set1	BF_014_the_winners_villa_basement	Battlefield	WG	1						
The Yangtze River	set1	BF_015_The_yangtze_river	Battlefield	WG	1						
The Old Alliance's Space Colony	set1	BF_016_The_old_alliance's_space_colony	Battlefield	WG	1						
Europe Air Force Base	set1	BF_017_europe_air_force_base	Battlefield	Oz	2						
The Treize Fleet	set1	BF_018_the_treize_fleet	Battlefield	Oz	2						
Romefeller Foundation's HQ	set1	BF_019_Romefeller_foundation's_hq	Battlefield	Oz	2						
The Lunar Base	set1	BF_020_the_lunar_base	Battlefield	Oz	2						
South Pole Base	set1	BF_021_South_Pole_base	Battlefield	Oz	2						
Under the North Russian Sea	set1	BF_022_Under_the_north_russian_sea	Battlefield	Oz	2						
Old Space Colony	set1	BF_023_old_space_colony	Battlefield	Oz	2						
Urban Area	set1	BF_024_urban_area	Battlefield	Oz	2						
C421 Space Colony	set1	BF_025_C421_space_colony	Battlefield	Oz	2						
X-18999	set2	BF_026_x-18999	Battlefield	Oz	3				Y		
L1 Colony	set2	BF_027_L1_Colony	Battlefield	WG	3						
Satelite MO-III	set2	BF_028_satellite_mo_111	Battlefield	Oz	2						
The Gundam Scrap Heap	set2	BF_029_the_gundam_scrap_heap	Battlefield	WG	3						
In the Atmosphere	set2	BF_030_In_the_atmosphere	Battlefield	Oz	2						
In the Satellite's Orbit	set2	BF_031_In_the_satellite's_orbit	Battlefield	WG	3						
Mariemaia Army Headquarters	set2	BF_032_mariemaia_army_headquarters	Battlefield	Oz	2						
The Government-General	set2	BF_033_the_government_general	Battlefield	Oz	4						
Side 7	set3	BF_034_Side_7	Battlefield	EF	3						
Luna II	set3	BF_035_Luna_II	Battlefield	EF	3						
Jaburo	set3	BF_036_jabrow	Battlefield	EF	4						
North America	set3	BF_037_North_America	Battlefield	PZ	3						
The Zeon Mining Region	set3	BF_038_the_zeon_mining_region	Battlefield	PZ	3						
Odessa	set3	BF_039_Odessa	Battlefield	PZ	4						
Operation Meteor	set1	EV_001_operation_meteor	Event	WG	3						
Shocking Reply	set1	EV_002_shocking_reply	Event	WG	2						
Rebel Factor	set1	EV_003_rebel_factor	Event	WG	2						
Support of Maganac Corps	set1	EV_004_Support_of_maganac_corps	Event	WG	2						
Highly Trained Pilot	set1	EV_005_highly_trained_pilot	Event	WG	2						
Nation of Total Pacifism	set1	EV_006_nation_of_total_pacifism	Event	WG	1						
Specials	set1	EV_007_specials	Event	Oz	3				Y		
Romefeller Foundation	set1	EV_008_Romefeller_foundation	Event	Oz	2				Y		
Assassination	set1	EV_009_assassination	Event	Oz	3						
Emergency Escape	set1	EV_010_emergency_escape	Event	Oz	1						
Operation Daybreak	set1	EV_011_operation_daybreak	Event	Oz	3						
Mobile Doll	set1	EV_012_mobile_doll	Event	Oz	2						
Confinement	set1	EV_013_confinment	Event	Oz	2						
Space Fortress Barge	set1	EV_014_space_fortress_barge	Event	Oz	3				Y		
Surrender	set1	EV_015_surrender	Event	WG	2						
Covering Fire	set1	EV_016_covering_fire	Event	WG	2						
The Peacecrafts	set1	EV_017_the_peacecrafts	Event	WG	2						
High Powered Combat	set1	EV_018_High_powered_combat	Event	WG	2						
Circus	set1	EV_019_circus	Event	WG	2						
Parts Thieves	set1	EV_020_part_thieves	Event	WG	1						
Time to Rest	set1	EV_021_time_to_rest	Event	WG	2						
Oz Corps Infiltration	set1	EV_022_oz_corps_infiltration	Event	WG	2						
Zero System	set1	EV_023_zero_system	Event	WG	5				Y		
Birthday Party	set1	EV_024_birthday_party	Event	WG	1						
Memory Loss	set1	EV_025_memory_loss	Event	WG	1						
Mercenary	set1	EV_026_Mercenary	Event	WG	1						
Experience Counts	set1	EV_027_Experience_counts	Event	WG	3						
Training	set1	EV_028_Training	Event	WG	3						
Triumphant Return	set1	EV_029_Triumphant_return	Event	WG	1						
Aftermath	set1	EV_030_Aftermath	Event	WG	3				Y		
Mission Failure	set1	EV_031_Mission_failure	Event	WG	0						
White Fang	set1	EV_032_White_fang	Event	Oz	5						
The World Nation Forces	set1	EV_033_the_world_nation_forces	Event	Oz	2						
Vanquished	set1	EV_034_Vanquished	Event	Oz	3				Y		
Message From Treize Khushrenada	set1	EV_035_message_from_treize_khushrenada	Event	Oz	2						
Commander	set1	EV_036_Commander	Event	Oz	2						
Assassin's Bullet	set1	EV_037_assassin's_bullet	Event	Oz	2						
Encouragement	set1	EV_038_Encouragement	Event	Oz	1						
Military Action	set1	EV_039_military_action	Event	Oz	2						
Research Group	set1	EV_040_Research_group	Event	Oz	1						
Camouflage	set1	EV_041_Camouflage	Event	Oz	2						
Loner	set1	EV_042_loner	Event	Oz	2						
Rose Essence	set1	EV_043_Rose_Essence	Event	Oz	1				Y		
Decoy	set1	EV_044_Decoy	Event	Oz	3						
The Alliance Summit	set1	EV_045_the_alliance_summit	Event	Oz	4				Y		
MD Control Device	set1	EV_046_MD_control_device	Event	Oz	4				Y		
Single Combat	set1	EV_047_single_combat	Event	Oz	2						
Self-Sacrifice	set1	EV_048_self-sacrifice	Event	Oz	3				Y		
Special Attack Corps	set1	EV_049_Special_attack_corps	Event	Oz	2						
M.S. Transport	set1	EV_050_M.S._transport	Event	Oz	2						
Pinned Down	set1	EV_051_Pinned_down	Event	Oz	0						
Preventer	set2	EV_052_Preventer	Event	WG	1						
Neo Titanium	set2	EV_053_neo_titanium	Event	Oz	0				Y		
The Anniversary of War's End	set2	EV_054_the_anniversary_of_war's_end	Event	WG	2						
Snatch	set2	EV_055_Snatch	Event	Oz	2						
Rally of Mariemaia Army	set2	EV_056_rally_of_mariemaia_army	Event	Oz	2						
Colony Infiltration	set2	EV_057_Colony_infiltration	Event	WG	1						
Single Flower	set2	EV_058_Single_Flower	Event	WG	2						
Power Transfer	set2	EV_059_Power_Transfer	Event	Oz	2						
Heat Detector	set2	EV_060_Heat_Detectors	Event	WG	2						
13th Constellation	set2	EV_061_13th_constellation	Event	Oz	1						
Escape From Satellite MO-III	set2	EV_062_Escape_from_satellite_mo-111	Event	Oz	1						
Jailbreak	set2	EV_063_Jailbreak	Event	Oz	3						
Gundam Recovery	set2	EV_064_Gundam_Recovery	Event	WG	0						
Barton Foundation	set2	EV_065_Barton_Foundation	Event	Oz	2						
Descending Operation	set2	EV_066_Descending_operation	Event	Oz	3						
The Real Operation Meteor	set2	EV_067_The_real_operation_meteor	Event	Oz	3						
Blocking	set2	EV_068_Blocking	Event	WG	3						
State of Emergency	set2	EV_069_State_of_emergency	Event	WG	3						
People's Action	set2	EV_070_People's_Action	Event	WG	3						
The Pinch	set2	EV_071_The_Pinch	Event	WG	1						
Reformed	set2	EV_072_Reformed	Event	WG	1						
End of Waltz	set2	EV_073_End_of_waltz	Event	WG	6				Y		
Operation V	set3	EV_074_Operation_V	Event	EF	2						
Into the Atmosphere	set3	EV_075_into_the_atmosphere	Event	EF	4						
Minovsky Particles	set3	EV_076_minovsky_particles	Event	EF	2						
Supply Corps	set3	EV_077_Supply_corps	Event	EF	1						
Antiaircraft Fire	set3	EV_078_Antiaircraft_fire	Event	EF	3						
Mass Production	set3	EV_079_mass_production	Event	EF	0						
The Solar System	set3	EV_080_the_solar_system	Event	EF	5						
The Red Comet	set3	EV_081_the_red_comet	Event	PZ	2						
Speech	set3	EV_082_Speech	Event	PZ	3						
Guerrilla Band	set3	EV_083_Guerrilla_band	Event	PZ	3						
Jet-Stream Attack	set3	EV_084_jet-stream_attack	Event	PZ	2						
Spy	set3	EV_085_Spy	Event	PZ	2						
MA Kube's Tactics	set3	EV_086_ma_kube's_tactics	Event	PZ	3						
Wing Gundam-1	set1	MS_001_Wing_Gundam	Mobile Suits	WG	4	4				Y	
Wing Gundam (Bird Mode)-1	set1	MS_002_Wing_Gundam_Bird_Mode	Mobile Suits	WG	3	3				Y	
